26-04-25 14:21:42.674 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
26-04-25 14:21:44.898 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/1.8.0_461-b11"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='rrajeshru964_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@41ef1ea2]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.isvdtul.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-at00ve-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
26-04-25 14:21:45.029 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-srv-cluster0.isvdtul.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017 to client view of cluster
26-04-25 14:21:45.049 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-srv-cluster0.isvdtul.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017 to client view of cluster
26-04-25 14:21:45.050 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-srv-cluster0.isvdtul.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017 to client view of cluster
26-04-25 14:21:45.227 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@44aa2e13 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
26-04-25 14:21:46.372 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:108484}] to ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017
26-04-25 14:21:46.372 [cluster-rtt-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:91492}] to ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017
26-04-25 14:21:46.372 [cluster-rtt-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:108484}] to ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017
26-04-25 14:21:46.372 [cluster-rtt-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:93176}] to ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017
26-04-25 14:21:46.372 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:91492}] to ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017
26-04-25 14:21:46.372 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:93176}] to ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017
26-04-25 14:21:46.374 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=509769800, setName='atlas-at00ve-shard-0', canonicalAddress=ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017, hosts=[ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017, ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017, ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017], passives=[], arbiters=[], primary='ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000010b, setVersion=240, topologyVersion=TopologyVersion{processId=69ea4dfa07842f9860effedf, counter=6}, lastWriteDate=Sat Apr 25 14:21:46 IST 2026, lastUpdateTimeNanos=403221585768500}
26-04-25 14:21:46.374 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=509692200, setName='atlas-at00ve-shard-0', canonicalAddress=ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017, hosts=[ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017, ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017, ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017], passives=[], arbiters=[], primary='ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=240, topologyVersion=TopologyVersion{processId=69ea4e489380d7f27eb0020a, counter=3}, lastWriteDate=Sat Apr 25 14:21:46 IST 2026, lastUpdateTimeNanos=403221585769000}
26-04-25 14:21:46.374 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=509827200, setName='atlas-at00ve-shard-0', canonicalAddress=ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017, hosts=[ac-pxttovf-shard-00-00.isvdtul.mongodb.net:27017, ac-pxttovf-shard-00-02.isvdtul.mongodb.net:27017, ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017], passives=[], arbiters=[], primary='ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=240, topologyVersion=TopologyVersion{processId=69ea4dabbe7a4792de5d0c5b, counter=4}, lastWriteDate=Sat Apr 25 14:21:46 IST 2026, lastUpdateTimeNanos=403221585851100}
26-04-25 14:21:46.381 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000010b from replica set primary ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017
26-04-25 14:21:46.382 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 240 from replica set primary ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017
26-04-25 14:21:46.382 [cluster-ClusterId{value='69ec80a0185952385540a402', description='null'}-ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017
26-04-25 14:21:47.078 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:108360}] to ac-pxttovf-shard-00-01.isvdtul.mongodb.net:27017
26-04-25 14:21:48.228 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1fee4278, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@51132514, org.springframework.security.web.context.SecurityContextPersistenceFilter@8383a14, org.springframework.security.web.header.HeaderWriterFilter@f9b8129, org.springframework.security.web.authentication.logout.LogoutFilter@5ef2cbe6, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1d1c37d5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@395a573c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d92e8e2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@20864cd1, org.springframework.security.web.session.SessionManagementFilter@192b472d, org.springframework.security.web.access.ExceptionTranslationFilter@6eabe718, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@38a96593]
26-04-25 14:21:48.303 [main] INFO  n.e.j.JournalAppApplicationTests - Started JournalAppApplicationTests in 5.372 seconds (JVM running for 6.267)
26-04-25 14:21:48.761 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.service.UserServiceTests], using SpringBootContextLoader
26-04-25 14:21:48.763 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.service.UserServiceTests]: no resource found for suffixes {-context.xml, Context.groovy}.
26-04-25 14:21:48.763 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.service.UserServiceTests]: UserServiceTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
26-04-25 14:21:48.774 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.service.UserServiceTests
26-04-25 14:21:48.775 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
26-04-25 14:21:48.775 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1df9f7c6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4b5aa48b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@51c008fd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@70ed902a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@22f80e36, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3c98981e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6dcee890, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@713e49c3, org.springframework.test.context.event.EventPublishingTestExecutionListener@13d5606c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6bf54260, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7165bde6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@72168258, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4af84a76, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@b5ff70b, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5709e10b]
